timestamp,cpu_percent_system,virtual_memory_percent_system
2025-06-04T18:28:28.352590,0.0,68.3
2025-06-04T18:28:33.366385,87.4,69.6
2025-06-04T18:28:38.399975,100.0,70.4
2025-06-04T18:28:43.427734,100.0,71.2
2025-06-04T18:28:48.454274,100.0,69.9
2025-06-04T18:28:53.488943,100.0,71.1
2025-06-04T18:28:58.518909,100.0,70.5
2025-06-04T18:29:03.528736,100.0,70.6
2025-06-04T18:29:08.550155,100.0,70.3
2025-06-04T18:29:13.580271,100.0,70.3
2025-06-04T18:29:18.603932,100.0,69.9
2025-06-04T18:29:23.622836,100.0,71.4
2025-06-04T18:29:28.646615,100.0,69.9
2025-06-04T18:29:33.672504,100.0,71.0
2025-06-04T18:29:38.697481,100.0,70.7
2025-06-04T18:29:43.730130,100.0,72.1
2025-06-04T18:29:48.759226,100.0,71.1
2025-06-04T18:29:53.790843,100.0,71.8
2025-06-04T18:29:58.817800,100.0,70.1
2025-06-04T18:30:03.836466,100.0,70.8
2025-06-04T18:30:08.862151,100.0,70.8
2025-06-04T18:30:13.880462,100.0,71.1
2025-06-04T18:30:18.899484,100.0,70.3
2025-06-04T18:30:23.927131,100.0,70.7
2025-06-04T18:30:28.959013,100.0,72.1
2025-06-04T18:30:33.987406,100.0,70.8
2025-06-04T18:30:39.010416,100.0,71.9
2025-06-04T18:30:44.027819,100.0,70.5
2025-06-04T18:30:49.055212,100.0,71.5
2025-06-04T18:30:54.076710,100.0,70.3
2025-06-04T18:30:59.095973,100.0,71.4
2025-06-04T18:31:04.125715,100.0,70.6
2025-06-04T18:31:09.151902,100.0,71.6
2025-06-04T18:31:14.177404,100.0,71.5
2025-06-04T18:31:19.199537,100.0,70.6
2025-06-04T18:31:24.228669,100.0,72.1
2025-06-04T18:31:29.260379,99.7,70.5
2025-06-04T18:31:34.279446,71.0,65.9
