timestamp,cpu_percent_system,virtual_memory_percent_system
2025-06-06T13:13:09.597446,0.0,73.8
2025-06-06T13:13:14.621718,82.2,75.5
2025-06-06T13:13:19.658949,100.0,75.9
2025-06-06T13:13:24.686270,100.0,76.0
2025-06-06T13:13:29.713696,100.0,76.8
2025-06-06T13:13:34.740737,100.0,76.4
2025-06-06T13:13:39.770243,100.0,76.9
2025-06-06T13:13:44.804453,100.0,77.2
2025-06-06T13:13:49.851699,100.0,77.4
2025-06-06T13:13:54.877475,100.0,76.1
2025-06-06T13:13:59.912228,100.0,77.0
2025-06-06T13:14:04.947853,100.0,77.5
2025-06-06T13:14:09.988099,100.0,76.2
2025-06-06T13:14:15.015776,100.0,76.7
2025-06-06T13:14:20.030356,100.0,77.4
2025-06-06T13:14:25.060401,100.0,77.4
2025-06-06T13:14:30.090755,100.0,77.5
2025-06-06T13:14:35.120014,100.0,77.5
2025-06-06T13:14:40.143289,100.0,76.6
2025-06-06T13:14:45.180852,100.0,77.4
2025-06-06T13:14:50.205788,100.0,77.8
2025-06-06T13:14:55.237424,100.0,77.6
2025-06-06T13:15:00.273358,100.0,78.0
2025-06-06T13:15:05.298349,100.0,78.0
2025-06-06T13:15:10.335512,100.0,78.3
2025-06-06T13:15:15.358344,100.0,79.9
2025-06-06T13:15:20.393092,100.0,77.6
2025-06-06T13:15:25.408188,100.0,76.8
2025-06-06T13:15:30.443964,100.0,77.9
2025-06-06T13:15:35.465173,100.0,78.6
2025-06-06T13:15:40.489072,100.0,77.0
2025-06-06T13:15:45.521345,100.0,77.1
2025-06-06T13:15:50.546456,100.0,78.3
2025-06-06T13:15:55.580639,100.0,77.3
2025-06-06T13:16:00.595384,88.0,75.0
