Age,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,MaritalStatus_Single,OverTime_No,OverTime_Yes,CompensationSatisfaction,ExperienceRatio,CommuteSatisfactionRatio,StagnationScore,SatisfactionIndex,JobSatisfaction_WorkLifeBalance,PCA1,PCA2,Attrition
41.0,2.0,3.0,2.0,4.0,7.0,8.0,6.0,4.0,1.0,0.0,1.0,0.5833333333333334,0.1951219512195122,0.25,0.1292307692307692,0.5,4.0,-0.7723897119808488,-0.3737635289345148,1
49.0,3.0,2.0,2.0,2.0,6.0,10.0,10.0,7.0,0.0,1.0,0.0,0.3,0.20408163265306123,4.0,0.2246153846153846,0.5199999999999999,6.0,0.3751037858232149,0.6405708714499854,0
37.0,4.0,2.0,1.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1891891891891892,0.6666666666666666,0.0,0.66,9.0,-3.036094093493812,-0.9439137914639224,1
33.0,4.0,3.0,1.0,3.0,3.0,8.0,8.0,7.0,0.0,0.0,1.0,0.375,0.24242424242424243,1.0,0.2,0.66,9.0,-0.3613270795746897,-1.0247292691597298,0
27.0,1.0,3.0,1.0,2.0,4.0,6.0,2.0,2.0,0.0,1.0,0.0,2.0,0.2222222222222222,1.0,0.06153846153846154,0.4,6.0,-2.0070834321769127,0.5063693756571646,0
32.0,4.0,3.0,1.0,4.0,3.0,8.0,7.0,7.0,1.0,1.0,0.0,0.42857142857142855,0.25,0.5,0.17846153846153842,0.6799999999999999,8.0,-0.50159249313144,-1.4166618648750997,0
59.0,3.0,4.0,1.0,1.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,0.2033898305084746,3.0,0.021538461538461538,0.38,2.0,-2.4101570324854453,2.7538556668814325,0
30.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.03333333333333333,8.0,0.021538461538461538,0.66,9.0,-3.8640095759105906,-0.18352486714536914,0
38.0,4.0,2.0,3.0,3.0,8.0,10.0,9.0,7.0,1.0,1.0,0.0,0.2962962962962963,0.2631578947368421,7.666666666666667,0.20307692307692307,0.66,9.0,0.81173342139847,-0.3046829680980583,0
36.0,3.0,3.0,2.0,3.0,6.0,17.0,7.0,7.0,0.0,1.0,0.0,0.42857142857142855,0.4722222222222222,9.0,0.2153846153846154,0.54,6.0,1.8779675316738331,0.878802716956004,0
35.0,1.0,4.0,1.0,2.0,2.0,6.0,5.0,4.0,0.0,1.0,0.0,0.4,0.17142857142857143,8.0,0.1076923076923077,0.4,6.0,-1.8453800503106628,1.1209432514721493,0
29.0,4.0,2.0,2.0,3.0,4.0,10.0,9.0,5.0,1.0,0.0,1.0,0.2222222222222222,0.3448275862068966,5.0,0.19384615384615383,0.66,9.0,0.20241524670473046,-0.6004768892004931,0
31.0,1.0,3.0,1.0,3.0,3.0,5.0,5.0,2.0,0.0,1.0,0.0,0.6,0.16129032258064516,8.666666666666666,0.14461538461538462,0.42000000000000004,6.0,-1.3097171813858248,0.8372439540813791,0
34.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.08823529411764706,4.75,0.052307692307692305,0.62,12.0,-2.8558248445123566,-1.843405866427857,0
28.0,3.0,2.0,1.0,3.0,1.0,6.0,4.0,2.0,1.0,0.0,1.0,0.25,0.21428571428571427,8.0,0.08615384615384615,0.6,9.0,-2.0307999892512942,-0.20568567781804006,1
29.0,2.0,4.0,3.0,1.0,9.0,10.0,10.0,9.0,0.0,1.0,0.0,0.3,0.3448275862068966,21.0,0.28923076923076924,0.38,3.0,2.4509648978992713,3.4315793636216765,0
32.0,1.0,4.0,1.0,2.0,3.0,7.0,6.0,2.0,0.0,0.0,1.0,0.5,0.21875,2.5,0.1292307692307692,0.34,4.0,-1.597884590573696,1.3472205142501057,0
