timestamp,cpu_percent_system,virtual_memory_used_bytes_system,virtual_memory_total_bytes_system
2025-06-08T12:53:26.265262,0.0,6648594432,17179869184
2025-06-08T12:53:27.271277,97.4,6441615360,17179869184
2025-06-08T12:53:28.280018,91.8,6798950400,17179869184
2025-06-08T12:53:29.285513,89.6,6819938304,17179869184
2025-06-08T12:53:30.286909,97.4,6487490560,17179869184
2025-06-08T12:53:31.295638,100.0,6387269632,17179869184
2025-06-08T12:53:32.301525,100.0,6546030592,17179869184
2025-06-08T12:53:33.307515,100.0,6490456064,17179869184
2025-06-08T12:53:34.314244,100.0,6480101376,17179869184
2025-06-08T12:53:35.319703,100.0,6661111808,17179869184
2025-06-08T12:53:36.325660,100.0,6591021056,17179869184
2025-06-08T12:53:37.339150,100.0,6523797504,17179869184
2025-06-08T12:53:38.343540,100.0,6536069120,17179869184
2025-06-08T12:53:39.352541,100.0,6630653952,17179869184
2025-06-08T12:53:40.365186,100.0,6547734528,17179869184
2025-06-08T12:53:41.373511,100.0,6549192704,17179869184
2025-06-08T12:53:42.378797,100.0,6557745152,17179869184
2025-06-08T12:53:43.386736,100.0,6527205376,17179869184
2025-06-08T12:53:44.398258,100.0,6511542272,17179869184
2025-06-08T12:53:45.401032,100.0,6501072896,17179869184
2025-06-08T12:53:46.406065,100.0,6487556096,17179869184
2025-06-08T12:53:47.407130,100.0,6464847872,17179869184
2025-06-08T12:53:48.412427,100.0,6457442304,17179869184
2025-06-08T12:53:49.418044,100.0,6518292480,17179869184
2025-06-08T12:53:50.422869,100.0,6534479872,17179869184
2025-06-08T12:53:51.433227,100.0,6303252480,17179869184
2025-06-08T12:53:52.438841,100.0,6548307968,17179869184
2025-06-08T12:53:53.441500,100.0,6488014848,17179869184
2025-06-08T12:53:54.444492,100.0,6472990720,17179869184
2025-06-08T12:53:55.450061,100.0,6365003776,17179869184
2025-06-08T12:53:56.457947,100.0,6466519040,17179869184
2025-06-08T12:53:57.466100,100.0,6466338816,17179869184
2025-06-08T12:53:58.477886,100.0,6546096128,17179869184
2025-06-08T12:53:59.483151,100.0,6318391296,17179869184
2025-06-08T12:54:00.489885,100.0,6334005248,17179869184
2025-06-08T12:54:01.496942,100.0,6409486336,17179869184
2025-06-08T12:54:02.505194,100.0,6311870464,17179869184
2025-06-08T12:54:03.512112,100.0,6342098944,17179869184
2025-06-08T12:54:04.513488,100.0,6351175680,17179869184
2025-06-08T12:54:05.519632,100.0,6512459776,17179869184
2025-06-08T12:54:06.525745,100.0,6535004160,17179869184
2025-06-08T12:54:07.529291,100.0,6529466368,17179869184
2025-06-08T12:54:08.535326,100.0,6631915520,17179869184
2025-06-08T12:54:09.548974,100.0,6589595648,17179869184
2025-06-08T12:54:10.562722,100.0,6559399936,17179869184
2025-06-08T12:54:11.573419,100.0,6453428224,17179869184
2025-06-08T12:54:12.579112,100.0,6330171392,17179869184
2025-06-08T12:54:13.584153,100.0,6392872960,17179869184
2025-06-08T12:54:14.589674,100.0,6257917952,17179869184
2025-06-08T12:54:15.599371,100.0,6416433152,17179869184
2025-06-08T12:54:16.603003,100.0,6505627648,17179869184
2025-06-08T12:54:17.610485,100.0,6477119488,17179869184
2025-06-08T12:54:18.615599,100.0,6483640320,17179869184
2025-06-08T12:54:19.624043,100.0,6599524352,17179869184
2025-06-08T12:54:20.629621,100.0,6553157632,17179869184
2025-06-08T12:54:21.636202,100.0,6540279808,17179869184
2025-06-08T12:54:22.645319,100.0,6505152512,17179869184
2025-06-08T12:54:23.652238,100.0,6460063744,17179869184
2025-06-08T12:54:24.661994,100.0,6416678912,17179869184
2025-06-08T12:54:25.667545,100.0,6418710528,17179869184
2025-06-08T12:54:26.676016,100.0,6415417344,17179869184
2025-06-08T12:54:27.681322,100.0,6418759680,17179869184
2025-06-08T12:54:28.692474,100.0,6458687488,17179869184
2025-06-08T12:54:29.698333,100.0,6433456128,17179869184
2025-06-08T12:54:30.706566,100.0,6449152000,17179869184
2025-06-08T12:54:31.721266,100.0,6537543680,17179869184
2025-06-08T12:54:32.727158,100.0,6448627712,17179869184
2025-06-08T12:54:33.734246,100.0,6417514496,17179869184
2025-06-08T12:54:34.737333,100.0,6399934464,17179869184
2025-06-08T12:54:35.746290,100.0,6458277888,17179869184
2025-06-08T12:54:36.759822,100.0,6226886656,17179869184
2025-06-08T12:54:37.762898,100.0,6233063424,17179869184
2025-06-08T12:54:38.767705,100.0,6319669248,17179869184
2025-06-08T12:54:39.769260,100.0,6281232384,17179869184
2025-06-08T12:54:40.774434,100.0,6307790848,17179869184
2025-06-08T12:54:41.786653,100.0,6308659200,17179869184
2025-06-08T12:54:42.792577,100.0,6276186112,17179869184
2025-06-08T12:54:43.797847,100.0,6281052160,17179869184
2025-06-08T12:54:44.805946,100.0,6075023360,17179869184
2025-06-08T12:54:45.812957,100.0,6067961856,17179869184
2025-06-08T12:54:46.816310,100.0,6151880704,17179869184
2025-06-08T12:54:47.822512,100.0,6113542144,17179869184
2025-06-08T12:54:48.828051,100.0,6138331136,17179869184
2025-06-08T12:54:49.848281,100.0,6331301888,17179869184
2025-06-08T12:54:50.852604,100.0,6347800576,17179869184
2025-06-08T12:54:51.859786,100.0,6317080576,17179869184
2025-06-08T12:54:52.873572,100.0,6298107904,17179869184
2025-06-08T12:54:53.880675,100.0,6324666368,17179869184
2025-06-08T12:54:54.885404,100.0,6334316544,17179869184
2025-06-08T12:54:55.895353,100.0,6335184896,17179869184
2025-06-08T12:54:56.902660,100.0,6392152064,17179869184
2025-06-08T12:54:57.911028,100.0,6355550208,17179869184
2025-06-08T12:54:58.916740,100.0,6353502208,17179869184
2025-06-08T12:54:59.923185,100.0,6352715776,17179869184
2025-06-08T12:55:00.933812,100.0,6310608896,17179869184
2025-06-08T12:55:01.945009,100.0,6297518080,17179869184
2025-06-08T12:55:02.953171,100.0,6340706304,17179869184
2025-06-08T12:55:03.967161,100.0,6309232640,17179869184
2025-06-08T12:55:04.972593,100.0,6294700032,17179869184
2025-06-08T12:55:05.975596,100.0,6301040640,17179869184
2025-06-08T12:55:06.978888,100.0,6304579584,17179869184
2025-06-08T12:55:07.983695,100.0,6331662336,17179869184
2025-06-08T12:55:08.991919,100.0,6329810944,17179869184
2025-06-08T12:55:10.012090,100.0,6339330048,17179869184
2025-06-08T12:55:11.028793,99.4,6212812800,17179869184
2025-06-08T12:55:12.030031,100.0,6202540032,17179869184
2025-06-08T12:55:13.035426,87.3,5875384320,17179869184
2025-06-08T12:55:14.037704,69.8,6018924544,17179869184
2025-06-08T12:55:15.042979,57.1,6185254912,17179869184
2025-06-08T12:55:16.048241,56.2,6240911360,17179869184
