Age,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Department_Human Resources,Department_Other,Department_Sales,Gender_Female,Gender_Male,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,StagnationScore,TenureRatio,PCA1,PCA2,PCA3,Attrition
41,1,1,2,3,2,4,7,3,8,1,6,4,0,False,False,True,True,False,False,False,True,False,True,0.0,0.75,-0.31007878246359605,0.6449991163915635,-0.8256181246546164,1
49,8,2,3,2,2,2,6,4,10,3,10,7,1,False,True,False,False,True,False,True,False,True,False,0.1,1.0,0.7111749842682354,-0.3355584127489777,-1.390218970599602,0
37,2,4,4,2,1,3,1,3,7,3,0,0,0,False,True,False,False,True,False,False,True,False,True,0.0,0.0,-2.4779511486113495,1.6804928493830324,0.4646281346337015,1
33,3,5,4,3,1,3,3,3,8,3,8,7,3,False,True,False,True,False,False,True,False,False,True,0.375,1.0,-0.5607096143745389,-1.6619262678432603,-0.1072329690380335,0
27,2,7,1,3,1,2,4,3,6,3,2,2,2,False,True,False,False,True,False,True,False,True,False,1.0,0.3333333333333333,-1.5618150999619167,-0.22197032945834508,2.1448115004087454,0
32,2,8,4,3,1,4,3,3,8,2,7,7,3,False,True,False,False,True,False,False,True,True,False,0.42857142857142855,0.875,-0.6808830449943094,-1.4620583856496627,0.2269861298078074,0
59,3,10,3,4,1,1,2,4,12,2,1,0,0,False,True,False,True,False,False,True,False,False,True,0.0,0.08333333333333333,-1.3049127841062933,2.594374451618183,0.4679193586404688,0
30,24,11,4,3,1,3,2,4,1,3,1,0,0,False,True,False,False,True,True,False,False,True,False,0.0,1.0,-2.722065757969663,-0.6582896575304128,-1.0184158666955818,0
38,23,12,4,2,3,3,8,4,10,3,9,7,1,False,True,False,False,True,False,False,True,True,False,0.1111111111111111,0.9,0.9366056154363216,-0.24324430373708308,-1.519021726456315,0
36,27,13,3,3,2,3,6,3,17,2,7,7,7,False,True,False,False,True,False,True,False,True,False,1.0,0.4117647058823529,1.3068637800359808,-0.636578948248317,2.241675018567154,0
