timestamp,cpu_percent_system,virtual_memory_percent_system
2025-06-06T13:07:17.529730,0.0,74.5
2025-06-06T13:07:22.560044,90.8,76.6
2025-06-06T13:07:27.588401,100.0,77.0
2025-06-06T13:07:32.616835,100.0,77.2
2025-06-06T13:07:37.641596,100.0,77.1
2025-06-06T13:07:42.661924,100.0,76.6
2025-06-06T13:07:47.687845,100.0,75.9
2025-06-06T13:07:52.718136,100.0,75.5
2025-06-06T13:07:57.752225,100.0,76.0
2025-06-06T13:08:02.775882,100.0,75.7
2025-06-06T13:08:07.809104,100.0,76.3
2025-06-06T13:08:12.831674,100.0,76.7
2025-06-06T13:08:17.860748,100.0,76.5
2025-06-06T13:08:22.887259,100.0,75.6
2025-06-06T13:08:27.916873,100.0,76.7
2025-06-06T13:08:32.949401,100.0,76.9
2025-06-06T13:08:37.971962,100.0,77.1
2025-06-06T13:08:42.998670,100.0,77.1
2025-06-06T13:08:48.026174,100.0,76.8
2025-06-06T13:08:53.044442,100.0,76.2
2025-06-06T13:08:58.078544,100.0,76.8
2025-06-06T13:09:03.130640,100.0,75.8
2025-06-06T13:09:08.164637,100.0,75.6
2025-06-06T13:09:13.194313,100.0,75.9
2025-06-06T13:09:18.225691,100.0,75.9
2025-06-06T13:09:23.257012,100.0,76.7
2025-06-06T13:09:28.300423,100.0,75.2
2025-06-06T13:09:33.331872,100.0,76.0
2025-06-06T13:09:38.346422,100.0,76.8
2025-06-06T13:09:43.375493,100.0,76.0
2025-06-06T13:09:48.394898,100.0,75.4
2025-06-06T13:09:53.421963,100.0,75.8
2025-06-06T13:09:58.456604,100.0,76.7
2025-06-06T13:10:03.496595,100.0,76.4
2025-06-06T13:10:08.515123,97.0,75.4
