timestamp,cpu_percent_system,virtual_memory_percent_system
2025-06-04T18:20:40.811913,0.0,70.5
2025-06-04T18:20:45.820026,83.8,69.8
2025-06-04T18:20:50.851201,100.0,70.5
2025-06-04T18:20:55.888610,100.0,71.5
2025-06-04T18:21:00.913741,100.0,72.3
2025-06-04T18:21:05.952642,100.0,72.1
2025-06-04T18:21:10.970936,100.0,71.8
2025-06-04T18:21:15.996573,100.0,72.2
2025-06-04T18:21:21.026561,100.0,72.3
2025-06-04T18:21:26.055473,100.0,71.2
2025-06-04T18:21:31.077264,100.0,72.3
2025-06-04T18:21:36.096405,100.0,72.5
2025-06-04T18:21:41.135508,100.0,72.7
2025-06-04T18:21:46.170387,100.0,72.7
2025-06-04T18:21:51.187841,100.0,72.5
2025-06-04T18:21:56.215955,100.0,71.3
2025-06-04T18:22:01.240944,100.0,71.7
2025-06-04T18:22:06.262441,100.0,72.7
2025-06-04T18:22:11.284307,100.0,71.1
2025-06-04T18:22:16.313597,100.0,72.4
2025-06-04T18:22:21.342329,100.0,72.5
2025-06-04T18:22:26.365230,100.0,73.3
2025-06-04T18:22:31.402806,100.0,73.6
2025-06-04T18:22:36.422527,87.7,69.6
