timestamp                 , cpu_percent_system, virtual_memory_percent_system
2025-06-04T09:25:07.117985,                0.0,                          70.2
2025-06-04T09:25:12.132252,               73.6,                          70.5
2025-06-04T09:25:17.160804,              100.0,                          71.9
2025-06-04T09:25:22.191288,              100.0,                          71.7
2025-06-04T09:25:27.235274,              100.0,                          72.7
2025-06-04T09:25:32.267690,              100.0,                          73.0
2025-06-04T09:25:37.293819,              100.0,                          73.0
2025-06-04T09:25:42.324381,              100.0,                          72.1
2025-06-04T09:25:47.354057,              100.0,                          72.4
2025-06-04T09:25:52.385570,              100.0,                          72.9
