Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41.0,Yes,Travel_Rarely,1102,Sale Dept,1,2,Life Sciences,1,1,2.0,Female,94,3,2,Sales Executive,4.0,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8.0,0,1.0,6.609025218878255,4,0,5
49.0,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3.0,Male,61,2,2,Research Scientist,2.0,Married,5130,24907,1,Y,No,23,4,4,80,1,10.0,3,3.0,9.805270987848258,7,1,7
37.0,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,,Male,92,2,1,Laboratory Technician,3.0,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7.0,3,3.0,0.0,0,0,0
33.0,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,,Female,56,3,1,Research Scientist,3.0,MARRIED,2909,23159,1,Y,Yes,11,3,3,80,0,8.0,3,3.0,8.189113307370427,7,3,0
27.0,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,,Male,40,3,1,Laboratory Technician,2.0,Married,3468,16632,9,Y,No,12,3,4,80,1,6.0,3,3.0,2.966919900464059,2,2,2
32.0,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,,Male,79,3,1,Laboratory Technician,4.0,Single,3068,11864,0,Y,No,13,3,3,80,0,8.0,2,2.0,7.040485402972283,7,3,6
59.0,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,,Female,81,4,1,Laboratory Technician,1.0,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12.0,3,2.0,0.7917718182243125,0,0,0
30.0,No,Travel_Rarely,1358,R&D Lab,24,1,Life Sciences,1,11,,Male,67,3,1,Laboratory Technician,3.0,Divorced,3231.6,13335,1,Y,No,22,4,2,80,1,1.0,2,3.0,1.4287516257940562,0,0,0
38.0,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4.0,Male,44,2,3,Manufacturing Director,,Single,9526,8787,0,Y,No,21,4,2,80,0,10.0,2,,9.359064139912356,7,1,8
36.0,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3.0,Male,94,3,2,Healthcare Representative,3.0,Married,5237,16577,6,Y,No,13,3,2,80,2,17.0,3,2.0,6.52426412467598,7,7,7
35.0,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,,Male,84,4,1,Laboratory Technician,2.0,Married,2426,16479,0,Y,No,13,3,3,80,1,6.0,5,3.0,4.7319199499104885,4,0,3
29.0,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4.0,Female,49,2,2,Laboratory Technician,3.0,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10.0,3,3.0,9.54826442824744,5,0,8
31.0,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,,Male,31,3,1,Research Scientist,3.0,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5.0,1,2.0,5.214006420494714,2,4,3
34.0,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,,M,93,3,1,Laboratory Technician,4.0,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3.0,2,3.0,0.7651505674662014,2,1,2
28.0,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,,Male,50,2,1,Laboratory Technician,3.0,SINGLE,2028,12947,5,Y,Yes,14,3,2,80,0,6.0,4,3.0,4.240989569501447,2,0,3
29.0,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2.0,Female,51,4,3,Manufacturing Director,1.0,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10.0,1,3.0,10.46322817931016,9,8,8
32.0,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,,Male,80,4,1,Research Scientist,2.0,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7.0,5,2.0,5.581209304118443,2,0,5
22.0,No,Non-Travel,1123,R&D Lab,16,2,Medical,1,22,,Male,96,4,1,Laboratory Technician,4.0,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1.0,2,2.0,1.3385930327910498,0,0,0
53.0,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1.0,Female,78,2,4,Manager,4.0,Married,15427,22021,2,Y,No,16,3,3,80,0,31.0,3,3.0,25.93615955866036,8,3,7
38.0,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,,Male,45,3,1,Research Scientist,4.0,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6.0,3,3.0,3.198186970032221,2,1,2
24.0,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1.0,Female,96,4,2,Manufacturing Director,3.0,Divorced,"4.011,00",8232,0,Y,No,18,3,4,80,1,5.0,5,2.0,3.6871918523835343,2,1,3
36.0,Yes,Travel_Rarely,1218,Sale Dept,9,4,Life Sciences,1,27,,Male,82,2,1,Sales Representative,1.0,Single,3407,6986,7,Y,No,23,4,2,80,0,10.0,4,3.0,4.738769260233709,3,0,3
34.0,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1.0,Female,53,3,3,Research Director,2.0,Single,11994,21293,0,Y,No,11,3,3,80,0,13.0,4,3.0,12.006516949883276,6,2,11
21.0,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,,Male,96,3,1,Research Scientist,4.0,Single,1232,19281,1,Y,No,14,3,4,80,0,0.0,6,3.0,0.1888847959865457,0,0,0
34.0,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,,Male,83,3,1,Research Scientist,1.0,Single,2960,17102,2,Y,No,11,3,3,80,0,8.0,2,3.0,4.031412299866592,2,1,3
53.0,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3.0,Female,58,3,5,Manager,3.0,DIVORCED,19094,10735,4,Y,No,11,3,4,80,1,26.0,3,2.0,14.250798182673089,13,4,8
32.0,Yes,Travel_Frequently,1125,ResDev,16,1,Life Sciences,1,33,,Female,72,1,1,Research Scientist,1.0,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10.0,5,3.0,9.926527303539814,2,6,7
42.0,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3.0,Male,48,5,2,Sales Executive,2.0,Married,6825,21173,0,Y,No,11,3,4,80,1,10.0,2,3.0,9.09031148687011,7,4,2
44.0,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1.0,Female,42,2,3,Healthcare Representative,4.0,Married,10248,2094,3,Y,No,14,3,4,80,1,24.0,4,3.0,22.482405291164216,6,5,17
46.0,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2.0,Female,83,3,5,Manager,1.0,Single,18947,22822,3,Y,No,12,3,4,80,0,22.0,2,2.0,1.4675844235684972,2,2,1
33.0,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,,Male,78,3,1,Laboratory Technician,4.0,Single,2496,6670,4,Y,No,11,3,4,80,0,7.0,3,3.0,1.0543558998136928,1,0,0
44.0,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4.0,Male,41,3,2,Healthcare Representative,4.0,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9.0,5,4.0,4.05288182351388,2,1,3
30.0,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,,Male,83,2,1,Laboratory Technician,3.0,Single,2206,16117,1,Y,No,13,3,1,80,0,10.0,5,3.0,10.460333357856536,0,1,8
39.0,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4.0,Male,56,3,2,Sales Representative,4.0,Married,2086,3335,3,Y,No,14,3,3,80,1,19.0,6,4.0,0.8866387722253191,0,0,0
24.0,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,,Male,61,3,1,Research Scientist,4.0,MARRIED,2293,3020,2,Y,Yes,16,3,1,80,1,6.0,2,2.0,2.326524155524881,0,2,0
43.0,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,, fem ,72,4,1,Research Scientist,3.0,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6.0,3,2.0,5.551343732731356,3,1,4
50.0,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,,Male,86,2,1,Sales Representative,3.0,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3.0,2,3.0,2.0750985314178845,2,0,2
35.0,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,,Female,97,3,1,Sales Representative,4.0,Married,2014,9687,1,Y,No,13,3,1,80,0,2.0,3,3.0,2.584315621725267,2,2,2
36.0,No,Travel_Rarely,852,R&D,5,4,Life Sciences,1,51,,Female,82,2,1,Research Scientist,1.0,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6.0,3,4.0,0.5073091014371564,1,0,0
33.0,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3.0,Female,42,4,2,Sales Executive,1.0,Married,5376,3193,2,Y,No,19,3,1,80,2,10.0,3,3.0,4.453029795465763,3,1,3
35.0,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,,Male,75,3,1,Laboratory Technician,4.0,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1.0,3,3.0,0.0,0,0,0
27.0,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,,Female,33,3,1,Laboratory Technician,1.0,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1.0,6,3.0,0.5984111674936762,0,0,0
