timestamp,cpu_percent_system,virtual_memory_percent_system
2025-06-06T12:35:24.527524,0.0,70.2
2025-06-06T12:35:29.557024,90.5,74.6
2025-06-06T12:35:34.583182,100.0,76.8
2025-06-06T12:35:39.612384,100.0,77.9
2025-06-06T12:35:44.636422,100.0,78.5
2025-06-06T12:35:49.668007,100.0,77.8
2025-06-06T12:35:54.690546,100.0,78.4
2025-06-06T12:35:59.717262,100.0,77.2
2025-06-06T12:36:04.740399,100.0,78.5
2025-06-06T12:36:09.778106,100.0,78.9
2025-06-06T12:36:14.810817,100.0,78.9
2025-06-06T12:36:19.826002,100.0,79.7
2025-06-06T12:36:24.852208,100.0,78.8
2025-06-06T12:36:29.883504,100.0,79.1
2025-06-06T12:36:34.920449,100.0,77.7
2025-06-06T12:36:39.951931,100.0,79.1
2025-06-06T12:36:44.976559,100.0,77.9
2025-06-06T12:36:50.009276,100.0,78.6
2025-06-06T12:36:55.033744,100.0,79.4
2025-06-06T12:37:00.062238,100.0,79.0
2025-06-06T12:37:05.099086,100.0,79.0
2025-06-06T12:37:10.127797,100.0,80.1
2025-06-06T12:37:15.136760,98.8,81.0
