timestamp,cpu_percent_system,virtual_memory_percent_system
2025-06-04T11:10:43.147299,0.0,68.5
2025-06-04T11:10:48.171862,87.0,73.0
2025-06-04T11:10:53.199411,100.0,73.8
2025-06-04T11:10:58.224433,100.0,74.5
2025-06-04T11:11:03.261610,100.0,73.8
2025-06-04T11:11:08.284595,100.0,73.8
2025-06-04T11:11:13.306245,100.0,74.7
2025-06-04T11:11:18.330342,100.0,75.1
2025-06-04T11:11:23.346274,100.0,73.7
2025-06-04T11:11:28.367144,100.0,73.7
2025-06-04T11:11:33.397861,100.0,75.2
2025-06-04T11:11:38.426586,100.0,66.9
2025-06-04T11:11:43.448475,100.0,69.8
2025-06-04T11:11:48.478492,100.0,70.3
2025-06-04T11:11:53.493780,100.0,70.5
2025-06-04T11:11:58.515695,86.3,63.8
