Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Other,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Over18_Y,OverTime_No,OverTime_Yes,StagnationScore,TenureRatio,PCA1,PCA2,PCA3,Attrition
41,1102,1,2,1,1,2,94,3,2,4,7,19479,8,11,3,1,80,0,8,0,1,6,4,0,5,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,0.0,0.75,-0.2253581208064382,1.2447558902660159,-0.947613707918609,1
49,279,8,1,1,2,3,61,2,2,2,6,24907,1,23,4,4,80,1,10,3,3,10,7,1,7,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.1,1.0,0.8085179657644229,-1.0883681842783088,3.104883371147814,0
37,1373,2,2,1,4,4,92,2,1,3,1,2396,6,15,3,2,80,0,7,3,3,0,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,0.0,0.0,-2.9014752098968657,1.9310869945075069,-0.257963236607621,1
33,1392,3,4,1,5,4,56,3,1,3,3,23159,1,11,3,3,80,0,8,3,3,8,7,3,0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.375,1.0,-0.7437464418539446,-1.189861172646464,-1.242860498936934,0
27,591,2,1,1,7,1,40,3,1,2,4,16632,9,12,3,4,80,1,6,3,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,1.0,0.3333333333333333,-1.6812228026633906,0.8355577099827851,-1.151546114801189,0
32,1005,2,2,1,8,4,79,3,1,4,3,11864,0,13,3,3,80,0,8,2,2,7,7,3,6,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,0.42857142857142855,0.875,-0.4785231630271041,-1.9215151794496566,-0.865937211602926,0
59,1324,3,3,1,10,3,81,4,1,1,2,9964,4,20,4,1,80,3,12,3,2,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,0.0,0.08333333333333333,-1.7520946212582298,2.607812563166354,2.728542872654252,0
30,1358,24,1,1,11,4,67,3,1,3,2,13335,1,22,4,2,80,1,1,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.0,1.0,-3.1055400009267786,-1.309352007861149,3.225189330207743,0
38,216,23,3,1,12,4,44,2,3,3,8,8787,0,21,4,2,80,0,10,2,3,9,7,1,8,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,0.1111111111111111,0.9,1.1996706477968875,-1.1816166549643512,2.9510351580400345,0
36,1299,27,3,1,13,3,94,3,2,3,6,16577,6,13,3,2,80,2,17,3,2,7,7,7,7,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1.0,0.4117647058823529,1.548982514524871,0.3300726033475908,-0.5191969392259462,0
