Age,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
41.0,Sale Dept,1,1,2.0,Female,3,2,4.0,Single,7,Yes,3,8.0,1.0,6.483196000986209,4,0.0,1
49.0,Other,8,2,3.0,Male,2,2,2.0,Married,5,No,4,10.0,3.0,9.74452776635652,7,1.0,0
37.0,Other,2,4,3.0,Male,2,1,3.0,Single,1,Yes,3,7.0,3.0,0.6051993165683194,0,0.0,1
33.0,Other,3,5,3.0,Female,3,1,3.0,MARRIED,2,Yes,3,8.0,3.0,7.924382017253885,7,3.0,0
27.0,Other,2,7,3.0,Male,3,1,2.0,Married,3,No,3,6.0,3.0,1.8127392204547648,2,2.0,0
32.0,Other,2,8,3.0,Male,3,1,4.0,Single,3,No,3,8.0,2.0,6.354391943431908,7,3.0,0
59.0,Other,3,10,3.0,Female,4,1,1.0,Married,2,Yes,4,12.0,2.0,0.6172453170963307,0,0.0,0
30.0,R&D Lab,24,11,3.0,Male,3,1,3.0,Divorced,5,No,4,1.0,3.0,1.2111568808320323,0,0.0,0
38.0,Other,23,12,4.0,Male,2,3,3.0,Single,8,No,4,10.0,3.0,8.346042850165313,7,1.0,0
100.917558528236,R&D Lab,27,13,3.0,Male,3,2,3.0,Married,9,No,3,17.0,2.0,6.004700225211318,7,7.0,0
35.0,R&D Lab,16,14,3.0,Male,4,1,2.0,Married,2,No,3,6.0,3.0,4.571225557169449,4,0.0,0
29.0,Other,15,15,4.0,Female,2,2,3.0,Single,3,Yes,3,10.0,3.0,9.420002688311214,5,0.0,0
31.0,Other,26,16,3.0,Male,3,1,3.0,Divorced,2,No,3,5.0,2.0,5.890645538513184,2,4.0,0
34.0,Other,19,18,3.0,M,3,1,4.0,Divorced,5,No,3,3.0,3.0,1.6612921661426217,2,1.0,0
28.0,Other,24,19,3.0,Male,2,1,3.0,SINGLE,1,Yes,3,6.0,3.0,3.2255856600879538,2,0.0,1
29.0,Other,21,20,2.0,Female,4,3,1.0,Divorced,8,No,3,10.0,3.0,9.828435467947951,9,8.0,0
32.0,Other,5,21,3.0,Male,4,1,2.0,Divorced,3,Yes,3,7.0,2.0,6.091927757204779,2,0.0,0
22.0,R&D Lab,16,22,3.0,Male,4,1,4.0,Divorced,2,Yes,3,1.0,2.0,1.2889485675494172,0,0.0,0
53.0,Sales,2,23,1.0,Female,2,4,4.0,Married,9,No,3,31.0,3.0,26.067320624003703,8,3.0,0
38.0,Other,2,24,3.0,Male,3,1,4.0,Single,3,Yes,3,6.0,3.0,3.113424410990393,2,1.0,0
75.48248068873356,Other,11,26,1.0,Female,4,2,3.0,Divorced,5,No,3,5.0,2.0,4.8277308126894605,2,1.0,0
109.49212705779236,Sale Dept,9,27,3.0,Male,2,1,1.0,Single,5,No,4,10.0,3.0,4.768537288968176,3,0.0,1
34.0,Other,7,28,1.0,Female,3,3,2.0,Single,9,No,3,13.0,3.0,12.043282907261275,6,2.0,0
21.0,Other,15,30,3.0,Male,3,1,4.0,Single,2,No,3,0.0,3.0,0.0,0,0.0,0
34.0,Other,6,31,3.0,Male,3,1,1.0,Single,3,No,3,8.0,3.0,3.6599978329410288,2,1.0,1
53.0,Other,5,32,3.0,Female,3,5,3.0,DIVORCED,10,No,3,26.0,2.0,13.868297077566364,13,4.0,0
32.0,ResDev,16,33,3.0,Female,1,1,1.0,Single,3,Yes,4,10.0,3.0,9.859672562329589,2,6.0,1
128.21843903013212,Sales,8,35,3.0,Male,0,2,2.0,Married,7,No,3,10.0,3.0,8.698012040251125,7,4.0,0
44.0,Other,7,36,1.0,Female,2,3,4.0,Married,8,No,3,24.0,3.0,21.72537354631785,6,5.0,0
46.0,Sales,2,38,2.0,Female,3,5,1.0,Single,10,No,3,22.0,2.0,2.548398127220702,2,2.0,0
33.0,Other,2,39,3.0,Male,3,1,4.0,Single,2,No,3,7.0,3.0,2.056556078479101,1,0.0,0
44.0,Other,10,40,4.0,Male,3,2,4.0,Married,7,Yes,3,9.0,4.0,3.750796688646777,2,1.0,0
30.0,Other,9,41,3.0,Male,2,1,3.0,Single,5,No,3,10.0,3.0,9.8378022762163,0,1.0,0
39.0,Sales,5,42,4.0,Male,3,2,4.0,Married,1,No,3,19.0,4.0,1.2623045003152544,0,0.0,1
24.0,Other,1,45,3.0,Male,3,1,4.0,MARRIED,5,Yes,3,6.0,2.0,3.5935166690364846,0,2.0,1
43.0,Other,2,46,3.0, fem ,4,1,3.0,Divorced,2,No,3,6.0,2.0,5.042081760503961,3,1.0,0
50.0,Sales,3,47,3.0,Male,2,1,3.0,Married,2,Yes,3,3.0,3.0,3.4863164334493955,2,0.0,1
