timestamp,cpu_percent_system,virtual_memory_percent_system
2025-06-06T12:08:03.038798,0.0,72.1
2025-06-06T12:08:08.058427,78.6,72.0
2025-06-06T12:08:13.092737,100.0,74.3
2025-06-06T12:08:18.120303,100.0,74.2
2025-06-06T12:08:23.146728,100.0,75.0
2025-06-06T12:08:28.169144,100.0,76.0
2025-06-06T12:08:33.188944,100.0,77.0
2025-06-06T12:08:38.209136,100.0,76.1
2025-06-06T12:08:43.229104,100.0,75.3
2025-06-06T12:08:48.281119,100.0,76.1
2025-06-06T12:08:53.306278,100.0,76.0
2025-06-06T12:08:58.340385,100.0,75.3
2025-06-06T12:09:03.373041,100.0,74.9
2025-06-06T12:09:08.407199,100.0,75.6
2025-06-06T12:09:13.432101,100.0,76.3
2025-06-06T12:09:18.462040,100.0,76.5
2025-06-06T12:09:23.484901,100.0,75.3
2025-06-06T12:09:28.521066,100.0,76.3
2025-06-06T12:09:33.542947,100.0,76.3
2025-06-06T12:09:38.570850,100.0,75.0
2025-06-06T12:09:43.598974,100.0,75.1
2025-06-06T12:09:48.616657,100.0,75.8
2025-06-06T12:09:53.640076,100.0,75.5
2025-06-06T12:09:58.658636,100.0,75.9
2025-06-06T12:10:03.685020,97.8,74.3
